reviewer_id,review_role,review_content,seller_code,seller_name
중고나라#10378999,구매자,마이브 스타일폴더 거의 새상품급으로 잘 받았습니다. 배송도 매우 빠르게 해주셨습니다. 감사합니다.,633,바다바다바다
이까오,구매자,빠른거래 감사합니다,633,바다바다바다
tyui56,구매자,최고,633,바다바다바다
마스크주세요시,구매자,상태 좋고 배송도 빠르네요 옷 잘 받았습니다 감사합니다,633,바다바다바다
tono93,구매자,친절하십니다~^^,633,바다바다바다
plc,구매자,깔끙거래 늦은후기 죄송해용,633,바다바다바다
망고인더버거,구매자,요즘 진짜같은 가품이 너무많아서 혹 가품일까 걱정했는데 들어보니 문제잆는 정품같네요 잘쓰겠습니다.,633,바다바다바다
구르마그,구매자,판매자님 성향이 약간 딱딱함 ㅎㅎ,633,바다바다바다
경주사랑,구매자,좋은제품 잘 받았고 아주 마음에 듭니다 감사합니다,633,바다바다바다
양파양파링,구매자,빠르고 신속한 거래 좋습니다.,633,바다바다바다
뚜봉드,구매자,진짜 미꼬거래요 ㅋㅋㅋ 좋은 물건 저렴하게 주셔서 정말 고맙습니다~ 잡 입히고 잘 신길께요!!,916,미꼬거래
사노산,구매자,담에두 또거래할거에용,916,미꼬거래
하늘색밤하늘고양이,구매자,다괜찮아요,916,미꼬거래
시흥경찰,구매자,색감이 좀만더 연했으면 좋겠지만 그래도 잘 입을께요,916,미꼬거래
angelet789,구매자,생각보다 옷이 너무 깨끗하네요~ 예쁘게 잘 입힐께요 ~,916,미꼬거래
원이아바이,판매자,쿨거래 감사합니다,1133,페루니스6
중고나라#9639222,판매자,제 실수로 기기변경이 되지 않은 핸드폰은 보냈음에도 기기변경이 끝날때까지 기다려주셨습니다.,1133,페루니스6
쵸쵸23,판매자,믿고 구매해 주셔서 감사합니다!,1133,페루니스6
중고나라#9013801,판매자,구입해주셔서 감사합니다 잘 사용하세요,1133,페루니스6
베리굿또,판매자,감사합니다 잘 사용해주세요 좋은저녁 보내세요!,1133,페루니스6
핑핑닝,판매자,믿고 구매해주셔서 감사드려요^^,1133,페루니스6
9292구이,판매자,최근 바빠서 후기가 늦었습니다 새해 복 받으세요,1133,페루니스6
MinimalLif,판매자,거래 감사합니다 행복한 연말 보내십시오!,1133,페루니스6
마이너스젠틀맨,판매자,쿨거래 감사합니다 꾸벅!,1133,페루니스6
asados,판매자,잘 쓰세요 감사합니다,1133,페루니스6
한결아들,구매자,잘받았습니다 잘쓰겠습니다 편하네요,2508,뽀얀곰국
중고나라#8312667,판매자,잘 사용하세요~~~,4028,moogung
경주사랑,구매자,꼼꼼한 포장과 친절한 설명. 빠른배송 모든게 마음에 들었습니다. 그리고 궁금한 부분이 있어서 문의를 드렸드니 너무나 친절하게 답해 주셔서 많이 감사해요 ㅎㅎ,4028,moogung
infi6006,구매자,상품에 대해서는 조금 아쉽지만 판매자님의 적극적인 응대로 다 커버 되었습니다.,4028,moogung
공공돌이,구매자,가격도 싸고 좋은 물건 팔아주셔서 감사합니다! ^^,4028,moogung
이태백29,구매자,좋아요,4028,moogung
푸른바다산호해,구매자,감사합니다,4028,moogung
모닝사이드J,구매자,아주 깔끔한 거래였습니다.^^,4028,moogung
GGStore,구매자,감사합니다 잘 쓰겟습니다,4161,커티사크
중고나라#9439269,구매자,잘 작동합니다. 감사합니다,4161,커티사크
중고나라#8573634,구매자,안녕하세요 보내주신옷은 잘 받았습니다 저에게 잘맞네요 감사합니다,4779,수키남푠
좋은디,구매자,바로바로 답변을 해주시고 상품에 대해서도 잘 설명해주셔서 안심하고 거래했어요^^,4779,수키남푠
슬아할매,구매자,거렴한가격에 좋은 제품을 쿨하게 주셔 잘입겠습니다 빠른배송까지 감사드립니다^^,4779,수키남푠
jin진상화,구매자,좋아요,4779,수키남푠
lakelouse,구매자,좋은 가격에 잘 샀습니다 ~,4779,수키남푠
아스짱,구매자,가방 깨끗하고 예뻐요😊 판매자님도 친절하시고 신속하게 상품을 배송해 주셨어요 감사하고 또 구매할께요😄,4779,수키남푠
운쩡,판매자,빠른거래 감사합니다 이쁘게입으세요 항상건강하시구 행복하세요 좋은하루되세요,4951,국화장터24
중고나라#10837353,구매자,만족해요,4951,국화장터24
장안주민2,구매자,늘 평안하세요!!,4951,국화장터24
지지브라더스,구매자,아들 선물로 구매했는데 넘 만족스러워요~♡♡,4951,국화장터24
삼성핸드폰이용자,구매자,감사합니다.,4951,국화장터24
가을강가,구매자,상품설명데로 좋아요 택배도 빠르고요 감사합니다,4951,국화장터24
한글로벌닷컴,구매자,좋은 제품 고맙습니다~ 사업번창하십시요~,4951,국화장터24
태양부2,구매자,잘입을께요,4951,국화장터24
중고나라#6973624,구매자,가죽자켓이 상태가 S급이고 너무 멋지네요. 늘 웃는일로 항상 행복하세요!!,4951,국화장터24
수갱쓰,구매자,예쁜 제품 잘 구한거같습니다~ 친절히 답도 해주시고 좋은상품 잘 가져갑니다 ^^ ~!,4951,국화장터24
jaikhan,판매자,감사합니다,5294,부자테크닉
지민초딩,구매자,좋은 거래 감사합니다,5294,부자테크닉
아꾸자,판매자,매너좋고 중고앱거래 처음인데 여러가지를 친절하게 가르쳐주셔서감사합니다,5294,부자테크닉
어묵파,구매자,좋은 상품 좋은 가격에 잘 거래했습니다 감사합니다~,6042,행복한인생되세요
서팰리,구매자,감사합니다 잘쓰겠습니다 생가보다무게가 있지만 맘에듭니다 필기할맛나겠어요,6042,행복한인생되세요
태기니임,구매자,거래 감사합니다 ~*,8094,지음지교
중고나라#8895754,구매자,포장상태가 너무 안전하고 깔끔하게 받아서 감사드립니다.새해 복 많이 받으세요^^,8103,레드라이언
큰구랭이,구매자,좋은분 만나서 흡족한 거래했습니다^^,9760,공호리
농사꾼1234,구매자,"친절하게 제 의견을 많이 존중해주셨고, 상품도 깨끗하게 세척해서 잘 포장된 상태로 보내주셨습니다.",9760,공호리
변함없는닭고기시나몬,구매자,잘받았습니다..필요했던 거라 만족합니다. 포장도 신경써주시고 배송도 빨리오고 ...감사합니다.~~**,9760,공호리
가이9,구매자,잘 받았습니다.,9760,공호리
업타dns,구매자,혜자 사은픔도 주시고 친절하시고 빠르십니다!!,10136,모모짱
lure,구매자,택배 거래시 파손고려하여 꼼꼼히 포장되엤으며 친절하였음,10136,모모짱
scarofsoul,구매자,좋은물건 저렴하게 주셔서 감사합니다. 잘쓸께요 ^^,10136,모모짱
중고왕팬,구매자,배송도 빠르고 사용해보니 예상보다 충전도 잘되고 좋습니다~~~,10136,모모짱
치서니,구매자,"좋은 상품, 좋은 거래 감사합니다!",10136,모모짱
jmgu,구매자,제품도 아주깨끗하고 포장도 너무 완벽하게 잘 해주셔서 감사합니다 very good입니다,10136,모모짱
hanna801,구매자,오늘에야 물건 받았습니다 사이즈도 잘 맞고 좋은 물건 주셔서 감사합니다,10136,모모짱
nktw123,판매자,감사합니다 조심히 들어가세요^^,12853,nktw123
philipmusi,구매자,바쁘신데 와주셔서 감사합니다 가격도 좋고 상태도 좋습니다 잘 쓰겠습니다^^,13233,오가니크
짝태차림,구매자,좋은제품 저렴하게 주셔서 감사합니다,13233,오가니크
짲응짲응,구매자,잘 받았습니다 감사합니다!,13233,오가니크
탱크마눌,구매자,잘입을께요 집안에 있어도 추웠는데 따뜻히 잘입겠어요^^,13762,로즈마리상점
R연이,구매자,치마 잘 받았어요. 이쁘게 잘 입겠습니다~,13762,로즈마리상점
hikarious,구매자,빠른가래 감사합니다,13762,로즈마리상점
중고나라#10613961,구매자,거의 새상품에 배송도하루만에 왔네요 좋은제품잘쓰겠습니다,13782,goasdto
림영,판매자,거래 깔끔하고 좋았습니다~,14012,상암동폭격기왕
바니y,구매자,좋아요!!,15281,블루레이
또우스,구매자,잘쓸게요.,15281,블루레이
중고나라#9847033,구매자,감사합니다 사장님^^,15281,블루레이
아네세모,구매자,착한가격에 빠른배송 친절함까지 감사합니다.잘사용하겠습니다.^^,15281,블루레이
유니목500,구매자,너무 마음에들어요 판매자분이 너무 잘해주셨어요 너무 감사합니다,17545,kuby49
뇸뇸고기,구매자,응대가 빠르시고 친절하세요 👍🏻,17545,kuby49
junser88,구매자,일단 너무 친절하시고 배려넘치시고 포장도 너무 꼼꼼하시고 최고인거같아요ㅠㅠ 기회되면 또 거래하고싶네요 정말감사합니당!!,17545,kuby49
청렴결백하자,구매자,친절하시고 아주 저렴하게 판매하시고.. 별다섯 거래였습니다,18678,천원행사중
좀비킬러,구매자,항상 싸게 주셔서 감사합니다,18678,천원행사중
풍부한광채소라,구매자,답변도빠르고잘설명해주셔서감사함니다,18678,천원행사중
썬블럭이필요해,구매자,늘 기분좋은게 대해주시고 제가 한번 구매를 포기했었는데도 따뜻하게 대해주셔서 너무 감동이었어요. 발송도 빨리해주셔서 정말 너무 기분 좋은 거래가 되었습니다. 매번 감사드려요~^0^,18678,천원행사중
썬블럭이필요해,구매자,너무 친절하시고 배송도 빨리 해주셨어요. 고맙습니다~^0^,18678,천원행사중
youcj,구매자,좋아요 감사해요,18678,천원행사중
오지랍오천평,구매자,잘 쓸께요 친절하셔서 감사드립니다,18678,천원행사중
개굴릴,구매자,진짜 가격도 싸고 답장도 빠르고 다 좋은데 31개 거래하기로 했는데 배달은 29개 밖에 안 왔네요... 실수 해서 그런 거 같으신데 다음부터 확인 한 번 더 부탁드려요,18678,천원행사중
은비달이맘,구매자,자주올려주세여 감사합니다,18678,천원행사중
사기거래귀염포착,구매자,"시작동은 아직 못해보았습니다. 제품을 받았을때 외관으로 상태가 너무 좋았고, 거래 시 답장이나 궁금한 부분에 대해 거의 즉답해주어서 너무 좋았습니다.",18678,천원행사중
시나이상점,판매자,너무 친절하게 거래 해주셨습니다,19041,가링링
민로,구매자,꼼꼼하게 포장해서 보내주셔서 고맙습니다.,19041,가링링
김해바다곰,구매자,엄청 친절하시고 적절한 네고까지 해주셔서 정말 기분좋은 거래였어요. 제품 상태도 정말 좋아서 잘 쓰고 있습니다. 감사합니다.,19041,가링링
햇님이까꿍,구매자,응대도 잘해주시고 감사히 잘 신겠습니다~!,19304,사랑가득행복만땅
비쥬천사,구매자,사이즈도 잘맞고 배송도 빨랐어요. 감사해요.,19304,사랑가득행복만땅
찐두부장수,구매자,거래감사해요 이쁘게 잘입을께요 행복하세용,19304,사랑가득행복만땅
a둥이아빠a,구매자,물건 잘받앗습니다 수고하세요,19304,사랑가득행복만땅
중고나라#7805540,구매자,아직 상품은 받아보지 못했지만 신뢰가 가네요,19304,사랑가득행복만땅
리추시,구매자,옷들이 넘 이쁘네요 옷상태도 정말 좋아요~~ 친절하시고 저렴한 가격에 미안할 정도에요~~예쁘게 입을께요 감사해요 ~~,19304,사랑가득행복만땅
선일일공삼,구매자,고마워요,19304,사랑가득행복만땅
중고나라#7204194,구매자,친절하시고 빨리 배송해주십니다,19304,사랑가득행복만땅
산까치11,구매자,"안녕하세요? 생각보다 옷 상태가 아주 좋네요. 사이즈도 딱 맞고, 감사합니다. 잘 입을게요.ㅎ",19304,사랑가득행복만땅
중고나라#6979893,구매자,옷 정말 맘에 드네요 ~~사장님 박스에 글짜 참 이쁘게 적으시네요~암튼 잘 입겠습니다^^,19304,사랑가득행복만땅
울산털보아저씨,구매자,잘 쓰겠습니다,19420,행복가득한노을새떡
테스크포스,구매자,저렴한 가격에 괜찮은 노트북구입함.,19420,행복가득한노을새떡
해강용기,구매자,중고인데도 새 것 같은 제품에 성능도 만족합니다,19420,행복가득한노을새떡
중고나라#8827668,판매자,안전 거래를 잘 몰랐는데 방법도 잘 알려 주시고 친절 하셨어요. 좋은 거래 감사합니다.,19588,다혼자판다
직거래하는인콩,판매자,잘사용하세요,19751,보송한현재카네이션
습관적,구매자,택배 잘받았습니다 정상작동 확인했습니다 수고하세요,19751,보송한현재카네이션
팡세르,구매자,바로 받았는데 구매확정이 늦었네요^ 내용과 딱 맞습니다. 최고예요~,19751,보송한현재카네이션
울산홍길동,구매자,좋은 제품 잘 쓰겠습니다.!,19751,보송한현재카네이션
하드카피,구매자,좋은제품 잘 쓰겠습니다.,19751,보송한현재카네이션
강의지,판매자,건강하시고 행복하세요,19751,보송한현재카네이션
서울서대문구깔끔컴,판매자,거래해 주셔서 감사합니다 ^^ 좋은하루 보내세요,19751,보송한현재카네이션
건강한신체,구매자,저렴해서 괜찮아요,19829,비데물티슈조작
중고나라#8120712,구매자,김오곤 홍삼녹용 주문결재후 몇일후 도착 새상품이고 택배로 잘 받았습니다.,19829,비데물티슈조작
풋내기78,구매자,좋은제품 잘쓸께요 번창하세요,19829,비데물티슈조작
tantra,구매자,잘 받았 습니다☺,19829,비데물티슈조작
꽃잔디야,구매자,선물하기 좋아요,19829,비데물티슈조작
삶이주는열매,구매자,너무좋아요 감사합니당당당 잘사용할께요 수고하세요 ~~,19956,스피커만땅고
중고나라#8034788,구매자,말씀대로 신품 선응도 만족합니다,19956,스피커만땅고
하후하네,구매자,감사합니다 다음에또부탁합니다,19956,스피커만땅고
알뜰하게살아라잉,구매자,물건 잘받았습니다 감사합니다,19956,스피커만땅고
블루강사,구매자,잘 받았습니다 ~작동 잘 되고 좋아요 ~잘 사용하겠습니다 ~감사합니다 ~,19956,스피커만땅고
중고나라#9021987,구매자,빠른배송 감사드립니다.,19956,스피커만땅고
엘리코,구매자,감사합니다,19956,스피커만땅고
집시맨2,구매자,더운데 시원하게 보낼수 있길~~^^,19956,스피커만땅고
우담보아라,구매자,가성비가 좋음 아쉬운점은 충전핀이 구형이라,19956,스피커만땅고
개엄마햄집사,구매자,상태 좋네요.. 답장도 빨리주셔서 거래가 빨리되서 좋았어요. 안심거래라 안심도 되고.. 상품 잘 쓸께요~^^ 감사합니다~,19956,스피커만땅고
심학산다람쥐,구매자,감사합니다,21850,사고팔고신뢰욤
윤이운잉,구매자,감사합니다 좋은 저녁 보내세요,21850,사고팔고신뢰욤
유노농,구매자,빠른거래감사합니다,21850,사고팔고신뢰욤
수박조하,구매자,잘사용할게요,21850,사고팔고신뢰욤
qwerssh,구매자,물건 잘 받았습니다. 빠른배송 친절한 상담 감사합니다!!,21850,사고팔고신뢰욤
Realmarvel,판매자,좋습니다,22579,지성현
중고나라#7358629,구매자,감사드려요^^,22579,지성현
중고나라#6969967,구매자,고맙습니다,22579,지성현
choisu,구매자,중고나라 이용은 처음이였는데 잘 설명해주셨어요,22875,minws
세상에나최,구매자,선물도주시고 맘에들어요~~~^^,23021,정딸기전품목택포
아기장미공주님,구매자,인형 귀여워요 😍 🐻,23021,정딸기전품목택포
