seller_code,seller_name,seller_trust,seller_safe_sales,seller_customs,seller_items,category_top,sell_method,seller_view,seller_like,seller_chat
137,Oscar,445.0,0,0,1,모바일/태블릿,택배,38,0,0
221,나판다,518.0,0,0,1,모바일/태블릿,"직거래,택배",31,0,1
232,굴리,496.0,0,0,2,모바일/태블릿,"직거래,택배",29,1,0
314,ggg,575.0,5,7,1,패션잡화,"직거래,택배",32,0,0
366,갓라,656.0,1,0,2,"모바일/태블릿, 가전제품","직거래,택배",207,0,1
633,바다바다바다,705.0,12,21,10,"모바일/태블릿, 가전제품, 패션잡화","직거래,택배,편의점픽업",416,1,0
902,쟝고의일상,772.0,5,2,1,가전제품,"직거래,택배",4,0,1
916,미꼬거래,489.0,2,27,62,패션의류,택배,959,2,23
1133,페루니스6,916.0,45,248,8,"노트북/PC, 모바일/태블릿","직거래,택배",366,3,4
1290,코모도왕도마뱀꼬리,528.0,0,0,1,노트북/PC,택배,21,0,0
1592,aUCY,651.0,2,0,1,가전제품,"직거래,택배",79,0,1
1611,hearty11,463.0,0,0,3,노트북/PC,"직거래,택배, 직거래",412,1,4
1925,멋진쉼,705.0,13,40,2,"노트북/PC, 가전제품","직거래,택배",444,6,8
2093,아뭐야시,372.0,0,0,1,가전제품,직거래,12,0,0
2129,kimbkt5809,541.0,0,0,1,가전제품,택배,8,0,0
2508,뽀얀곰국,598.0,0,102,35,"패션잡화, 패션의류",택배,1231,0,6
2582,나모나모,270.0,0,0,1,가전제품,"직거래,택배",44,0,1
2678,혜오니,303.0,0,0,1,패션의류,"직거래,택배,편의점픽업",14,0,0
2791,필독,624.0,1,0,1,가전제품,직거래,25,1,0
2876,가리비,894.0,14,55,7,노트북/PC,택배,226,0,2
2909,sodda7,270.0,3,1,1,패션잡화,택배,0,0,0
3203,MARCIAN,493.0,0,0,2,노트북/PC,"직거래,택배",61,0,0
3264,바나나세븐,597.0,1,0,1,노트북/PC,"직거래,택배",35,0,0
3446,빈티지핑크,627.0,2,0,2,"패션잡화, 패션의류",택배,21,0,0
4028,moogung,771.0,3,22,1,가전제품,직거래,53,0,0
4161,커티사크,751.0,32,15,4,노트북/PC,"직거래,택배",299,1,6
4170,dmsql753,213.0,0,0,1,패션의류,택배,1,0,0
4278,아뭐로하냐,367.0,1,0,1,노트북/PC,"직거래,택배",44,0,0
4383,나볼래옹,664.0,2,0,1,모바일/태블릿,"직거래,택배",138,0,2
4779,수키남푠,732.0,9,32,5,패션잡화,"택배, 직거래,택배",424,1,1
4951,국화장터24,713.0,133,79,12,"노트북/PC, 패션잡화",택배,524,1,5
5294,부자테크닉,755.0,2,1,3,노트북/PC,"직거래,택배, 직거래",50,2,1
5523,써밋코퍼레이션,566.0,1,0,1,노트북/PC,"직거래,택배",22,0,0
5706,나메,301.0,0,0,1,모바일/태블릿,"직거래,택배",41,0,0
5906,배트맨,501.0,0,0,1,가전제품,"직거래,택배",46,0,1
6037,이르아,391.0,1,0,2,노트북/PC,택배,88,0,1
